owl_id,site,datetime,audio_id,selec,start,end,segment_length,filepath_audio
A84,有利,2025-08-02 00:12:34 UTC,A84 - 有利 - 2025-08-02 00:12:34 UTC,1,0.3000000000000007,15.3,15,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/08020705.wav
A84,有利,2025-08-03 19:37:35 UTC,A84 - 有利 - 2025-08-03 19:37:35 UTC,1,0.1342994744582442,3.134299474458244,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/08030871.wav
A84,有利,2025-08-03 19:37:35 UTC,A84 - 有利 - 2025-08-03 19:37:35 UTC,2,11.29801216606473,14.29801216606473,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/08030871.wav
A84,有利,2025-08-05 23:18:40 UTC,A84 - 有利 - 2025-08-05 23:18:40 UTC,1,0,3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/08050298.wav
A84,有利,2025-08-05 23:18:40 UTC,A84 - 有利 - 2025-08-05 23:18:40 UTC,2,3.5958578930462783,6.595857893046278,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/08050298.wav
A84,有利,2025-08-05 23:18:40 UTC,A84 - 有利 - 2025-08-05 23:18:40 UTC,3,9.873667651320785,12.873667651320785,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/08050298.wav
A84,有利,2025-09-25 04:13:48 UTC,A84 - 有利 - 2025-09-25 04:13:48 UTC,1,0,6,6,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/09250900.wav
A84,有利,2025-10-01 19:30:51 UTC,A84 - 有利 - 2025-10-01 19:30:51 UTC,1,0,3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/10010516.wav
A84,有利,2025-10-01 19:30:51 UTC,A84 - 有利 - 2025-10-01 19:30:51 UTC,2,2.56374751974937,5.56374751974937,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/10010516.wav
A84,有利,2025-10-03 01:38:56 UTC,A84 - 有利 - 2025-10-03 01:38:56 UTC,1,-2.6999999999999993,15.3,18,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/10030948.wav
A84,有利,2025-10-17 19:30:30 UTC,A84 - 有利 - 2025-10-17 19:30:30 UTC,1,1.3537343884398743,4.353734388439874,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/10170032.wav
A84,有利,2025-10-17 19:30:30 UTC,A84 - 有利 - 2025-10-17 19:30:30 UTC,2,6.300000000000001,15.3,9,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/10170032.wav
