owl_id,site,datetime,audio_id,duration,sampling_rate,channels,bit_depth,format,filepath_video,filepath_audio
A50,土庫南,2024-07-04 21:56:27 UTC,A50 - 土庫南 - 2024-07-04 21:56:27 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20240704_215627_cZ2i9ziu.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240704_215627_cZ2i9ziu.wav
A50,土庫南,2024-07-05 20:47:27 UTC,A50 - 土庫南 - 2024-07-05 20:47:27 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20240705_204727_bcuBPANQ.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240705_204727_bcuBPANQ.wav
A50,土庫南,2024-07-06 02:59:39 UTC,A50 - 土庫南 - 2024-07-06 02:59:39 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20240706_025939_6sDUKPYJ.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240706_025939_6sDUKPYJ.wav
A50,土庫南,2025-01-29 22:51:35 UTC,A50 - 土庫南 - 2025-01-29 22:51:35 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20250129_225135_gNbiAZB3.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250129_225135_gNbiAZB3.wav
A50,土庫南,2025-01-29 23:00:37 UTC,A50 - 土庫南 - 2025-01-29 23:00:37 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20250129_230037_WbyvpRZJ.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250129_230037_WbyvpRZJ.wav
A50,土庫南,2025-01-29 23:02:38 UTC,A50 - 土庫南 - 2025-01-29 23:02:38 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20250129_230238_EKjWrSw8.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250129_230238_EKjWrSw8.wav
A50,土庫南,2025-01-29 23:07:38 UTC,A50 - 土庫南 - 2025-01-29 23:07:38 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20250129_230738_bGZHcbR4.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250129_230738_bGZHcbR4.wav
A50,土庫南,2025-02-01 02:49:32 UTC,A50 - 土庫南 - 2025-02-01 02:49:32 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20250201_024932_fTPpUNio.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250201_024932_fTPpUNio.wav
A50,土庫南,2025-02-01 02:59:42 UTC,A50 - 土庫南 - 2025-02-01 02:59:42 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫南A50/3_20250201_025942_RXiK56tQ.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250201_025942_RXiK56tQ.wav
A84,有利,2026-03-03 18:58:11 UTC,A84 - 有利 - 2026-03-03 18:58:11 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/有利A84/03030949.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03030949.wav
